,hurricane beryl,#hurricanechris,hurricane chris,#hurricanedebby,hurricane debby,#hurricaneernesto,hurricane ernesto,hurricane gordon,#hurricaneisaac,hurricane isaac,hurricane kirk,#hurricaneleslie,hurricane leslie,#hurricanemichael,hurricane michael,hurricane nadine,#hurricanerafael,hurricane rafael,#hurricanesandy,hurricane sandy
2012-11-01,,,4.566048670243344e-07,,,,,,1.2574729609606133e-07,0.0,,,,,,,,,1.0269362514511674e-05,7.532458289678104e-05
2012-11-02,,,2.912030746511359e-07,,,,,,9.387245323041505e-08,0.0,,,,,,,,,1.1437997378229034e-05,8.054519637783043e-05
2012-11-03,,,1.7561041041182628e-07,,,,,,1.0227854685562872e-07,0.0,,,,,,,,,6.268213800152104e-06,4.303253284227979e-05
2012-11-04,,,2.0641373453643502e-07,,,,,,1.0431973686389574e-07,0.0,,,,,,,,,3.5990309218044026e-06,3.234289688736416e-05
2012-11-05,,,1.0728454707786468e-07,,,,,,9.857430406837051e-08,0.0,,,,,,,,,4.08097618843054e-06,3.80359480906723e-05
2012-11-06,,,7.601631533108197e-08,,,,,,1.1077992771493106e-07,0.0,,,,,,,,,2.3088869144796157e-06,2.322298433364554e-05
2012-11-07,,,8.368491282992437e-08,,,,,,1.2183831965206566e-07,0.0,,,,,,,,,2.096901606643446e-06,2.5042710164354865e-05
2012-11-08,,,1.1444604774879856e-07,,,,,,1.891579311724207e-07,0.0,,,,,,,,,1.8915793117242069e-06,2.265268771774553e-05
2012-11-09,,,8.39312201779785e-08,,,,,,2.3873124048949607e-07,0.0,,,,,,,,,1.8636438773696148e-06,2.103316377660141e-05
2012-11-10,,,9.848319143054419e-08,,,,,,2.2538278166452472e-07,0.0,,,,,,,,,1.1870159834331636e-06,1.2261157333102752e-05
2012-11-11,,,0.0,,,,,,2.0554034118116544e-07,0.0,,,,,,,,,9.120852639914216e-07,9.637907599317585e-06
2012-11-12,,,1.9358593652375219e-07,,,,,,6.98384089053063e-08,0.0,,,,,,,,,1.0031335097307632e-06,1.3274464218771578e-05
2012-11-13,,,2.0478517271095102e-07,,,,,,1.6126517691777657e-07,0.0,,,,,,,,,9.743104438782334e-07,1.1943363822749394e-05
2012-11-14,,,1.7957495700741302e-07,,,,,,1.6492542584946042e-07,0.0,,,,,,,,,7.959444464908742e-07,1.2265750324288951e-05
2012-11-15,,,1.3004065101348481e-07,,,,,,1.6159123696623525e-07,0.0,,,,,,,,,9.063160682019282e-07,1.3891401308264024e-05
2012-11-16,,,8.891097114099408e-08,,,,,,1.557255270845623e-07,0.0,,,,,,,,,8.45367147030481e-07,9.852952165533801e-06
2012-11-17,,,0.0,,,,,,1.7142056768514656e-07,0.0,,,,,,,,,4.248248851327545e-07,5.89336392651265e-06
2012-11-18,,,1.601206750923476e-07,,,,,,0.0,0.0,,,,,,,,,3.6645907004654576e-07,5.662449328265746e-06
2012-11-19,,,8.062625313353932e-08,,,,,,3.362978459268772e-08,0.0,,,,,,,,,5.380765534830034e-07,7.718131322692446e-06
2012-11-20,,,4.0271494606345503e-07,,,,,,8.899698569263235e-08,0.0,,,,,,,,,3.559879427705294e-07,6.3837776635243995e-06
2012-11-21,,,2.310139238765656e-07,,,,,,8.63221494748847e-08,0.0,,,,,,,,,3.060512572291367e-07,5.441661317981323e-06
2012-11-22,,,1.1921550179436467e-07,,,,,,6.146035708631362e-08,0.0,,,,,,,,,3.755910710830276e-07,5.87136346337246e-06
2012-11-23,,,1.0701354421038204e-07,,,,,,1.6592989894695682e-07,0.0,,,,,,,,,3.4694433416181877e-07,3.6137650698736707e-06
2012-11-24,,,1.5618849345936474e-07,,,,,,1.428872410338435e-07,0.0,,,,,,,,,2.643413959126105e-07,3.303386636665564e-06
2012-11-25,,,9.099330425770619e-08,,,,,,1.1537128186640533e-07,0.0,,,,,,,,,2.563806263697896e-07,3.0937723447620107e-06
2012-11-26,,,1.0711190639242e-07,,,,,,1.5078770513765837e-07,0.0,,,,,,,,,2.622394871959276e-07,4.370165780810736e-06
2012-11-27,,,1.5296672071320835e-07,,,,,,2.7425936826187374e-07,0.0,,,,,,,,,3.3446264422179727e-07,5.077038301766963e-06
2012-11-28,,,1.0335563789833605e-07,,,,,,5.423790295439824e-08,0.0,,,,,,,,,2.7796925264129095e-07,4.414762247371783e-06
2012-11-29,,,1.2844852362702543e-07,,,,,,1.1102974096074437e-07,0.0,,,,,,,,,3.816647345525588e-07,5.175719922618378e-06
2012-11-30,,,3.503888448168738e-07,,,,,,1.3875600465697285e-07,0.0,,,,,,,,,3.578444330627194e-07,4.029471715394048e-06
2012-12-01,,,2.1628167313932295e-07,,,,,,1.1727265724229389e-07,0.0,,,,,,,,,1.6857944478579745e-07,2.2989940811476183e-06
2012-12-02,,,1.4652488576828327e-07,,,,,,1.2073930204003606e-07,0.0,,,,,,,,,1.4757025804893296e-07,3.2015687540369894e-06
2012-12-03,,,1.4575292235702473e-07,,,,,,1.2711845752911451e-07,0.0,,,,,,,,,2.2078468939267257e-07,3.7750006890469406e-06
2012-12-04,,,1.9990466916521344e-07,,,,,,2.7202319139158672e-08,0.0,,,,,,,,,1.4961275526537269e-07,3.4798220188018634e-06
2012-12-05,,,1.9260398333483664e-07,,,,,,8.844602196769225e-08,0.0,,,,,,,,,1.904991242381064e-07,3.3779775538725196e-06
2012-12-06,,,0.0,,,,,,1.818450325724669e-07,0.0,,,,,,,,,1.958331120011182e-07,3.960890773866653e-06
2012-12-07,,,9.707614733894056e-08,,,,,,1.4839211467748558e-07,0.0,,,,,,,,,2.5968620068559974e-07,4.57875828282003e-06
2012-12-08,,,2.2080770444205073e-07,,,,,,1.0476660514771612e-07,0.0,,,,,,,,,1.5714990772157417e-07,2.8623220946191764e-06
2012-12-09,,,2.1326503392662814e-07,,,,,,1.0407480100524029e-07,0.0,,,,,,,,,1.3009350125655036e-07,2.3672418765855723e-06
2012-12-10,,,2.0799264675706544e-07,,,,,,7.238306719483318e-08,0.0,,,,,,,,,1.6450697089734816e-07,3.3565709890450557e-06
2012-12-11,,,9.441011849886023e-08,,,,,,1.2667785992236942e-07,0.0,,,,,,,,,3.666990681963325e-07,3.9361757097217114e-06
2012-12-12,,,3.84142515923528e-07,,,,,,7.695659299926258e-08,0.0,,,,,,,,,7.631528805760206e-07,9.966752185870445e-06
2012-12-13,,,3.4928125594437584e-07,,,,,,1.3363381163146292e-07,0.0,,,,,,,,,2.806310044260721e-07,5.515733166788268e-06
2012-12-14,,,2.0247775454786843e-07,,,,,,1.5031932226257295e-07,0.0,,,,,,,,,2.2905801487630162e-07,4.174156786063748e-06
2012-12-15,,,1.8547775135778355e-07,,,,,,2.0063014533369934e-07,0.0,,,,,,,,,1.929136012824032e-07,2.5292420639697757e-06
2012-12-16,,,1.0245083322311331e-07,,,,,,1.4733192827337942e-07,0.0,,,,,,,,,2.410886099018936e-07,1.8953404146275963e-06
2012-12-17,,,5.875613435538817e-07,,,,,,9.203515961352044e-08,0.0,,,,,,,,,2.5638365892337836e-07,2.937806717769409e-06
2012-12-18,,,2.4970251617293823e-07,,,,,,1.6177779124727683e-07,0.0,,,,,,,,,1.3481482603939737e-07,2.6218764198158515e-06
2012-12-19,,,1.3898104104026753e-07,,,,,,9.398224628376577e-08,0.0,,,,,,,,,2.4166863330111194e-07,2.7576764459042554e-06
2012-12-20,,,1.4886281251913287e-07,,,,,,1.3659042880555292e-07,0.0,,,,,,,,,1.6260765333994395e-07,2.473958169960827e-06
2012-12-21,,,1.4487483538596829e-07,,,,,,1.5378771773972852e-07,0.0,,,,,,,,,1.398070161270259e-07,3.2939962571967526e-06
2012-12-22,,,7.408225909667583e-08,,,,,,6.023599846780702e-08,0.0,,,,,,,,,9.788349751018641e-08,1.4734138198116638e-06
2012-12-23,,,3.39898770139748e-07,,,,,,0.0,0.0,,,,,,,,,9.674060048632052e-08,1.684387238692529e-06
2012-12-24,,,1.7598844862507899e-07,,,,,,0.0,0.0,,,,,,,,,8.378406528779191e-08,1.851398479535831e-06
2012-12-25,,,1.196029648020136e-07,,,,,,0.0,0.0,,,,,,,,,1.0249153365269878e-07,1.2334055745207652e-06
2012-12-26,,,1.572715972116225e-07,,,,,,0.0,0.0,,,,,,,,,1.1646731823599915e-07,2.0520198874278366e-06
2012-12-27,,,3.4755303794124447e-07,,,,,,0.0,0.0,,,,,,,,,1.1684547746463595e-07,1.7661368662728545e-06
2012-12-28,,,3.486138317219121e-07,,,,,,0.0,0.0,,,,,,,,,1.1718176984197082e-07,1.7359545906152358e-06
2012-12-29,,,2.029965024210124e-07,,,,,,0.0,0.0,,,,,,,,,7.2930259941679e-08,2.0879640249018416e-06
2012-12-30,,,1.5219223716929854e-07,,,,,,0.0,0.0,,,,,,,,,3.798280657616588e-08,1.5011688848062628e-06
2012-12-31,,,1.0788693478903017e-07,,,,,,0.0,0.0,,,,,,,,,1.0505699443915407e-07,2.3667696319343493e-06
2013-01-01,,,2.786941356086647e-07,,,,,,0.0,0.0,,,,,,,,,8.501714642158481e-08,2.0008809736006697e-06
2013-01-02,,,1.2590809876788477e-06,,,,,,0.0,0.0,,,,,,,,,2.579518383281694e-07,5.163571497342508e-06
2013-01-03,,,8.248968752128801e-07,,,,,,0.0,0.0,,,,,,,,,1.2401509382746372e-07,2.56258947299739e-06
2013-01-04,,,7.557612255541596e-07,,,,,,0.0,0.0,,,,,,,,,1.2193990445957142e-07,3.6528459235117716e-06
2013-01-05,,,6.348959456550756e-07,,,,,,0.0,0.0,,,,,,,,,7.18701359435382e-08,1.8832868500330334e-06
2013-01-06,,,4.18547041847363e-07,,,,,,0.0,0.0,,,,,,,,,6.087930426497941e-08,1.7472678096167694e-06
2013-01-07,,,6.621995765259677e-07,,,,,,0.0,0.0,,,,,,,,,8.346112523266726e-08,1.3958128328733634e-06
2013-01-08,,,4.193373331528714e-07,,,,,,0.0,0.0,,,,,,,,,1.0445884199212805e-07,2.1251163154696363e-06
2013-01-09,,,3.6732889561764e-07,,,,,,0.0,0.0,,,,,,,,,1.1610764774898726e-07,2.0547460098611737e-06
2013-01-10,,,2.6752251118782755e-07,,,,,,0.0,0.0,,,,,,,,,5.976775644426742e-08,1.5545227001454846e-06
2013-01-11,,,1.7599069042915413e-07,,,,,,0.0,0.0,,,,,,,,,1.2640701364539834e-07,1.2089795255567979e-06
2013-01-12,,,1.812975177621348e-07,,,,,,0.0,0.0,,,,,,,,,7.968724774005638e-08,1.8419827804632894e-06
2013-01-13,,,2.540915458941688e-07,,,,,,0.0,0.0,,,,,,,,,6.119545704754207e-08,1.0631725209782327e-06
2013-01-14,,,2.36735581763871e-07,,,,,,0.0,0.0,,,,,,,,,1.4062348490179975e-07,1.3855994344414803e-06
2013-01-15,,,3.023267403417715e-07,,,,,,0.0,0.0,,,,,,,,,1.356178946959596e-07,2.3623670873217495e-06
